,Review_ID,Rating,Year_Month,Reviewer_Location,Branch
0,670772142,4,2019-4,Australia,Disneyland_HongKong
1,670682799,4,2019-5,Philippines,Disneyland_HongKong
2,670623270,4,2019-4,United Arab Emirates,Disneyland_HongKong
3,670607911,4,2019-4,Australia,Disneyland_HongKong
4,670607296,4,2019-4,United Kingdom,Disneyland_HongKong
5,670591897,3,2019-4,Singapore,Disneyland_HongKong
6,670585330,5,2019-4,India,Disneyland_HongKong
7,670574142,3,2019-3,Malaysia,Disneyland_HongKong
8,670571027,2,2019-4,Australia,Disneyland_HongKong
9,670570869,5,2019-3,India,Disneyland_HongKong
10,670443403,5,2019-4,United States,Disneyland_HongKong
11,670435886,5,2019-4,Canada,Disneyland_HongKong
12,670376905,4,2019-4,Australia,Disneyland_HongKong
13,670324965,5,2019-4,Philippines,Disneyland_HongKong
14,670274554,5,2018-9,Australia,Disneyland_HongKong
15,670205135,3,2019-1,United Kingdom,Disneyland_HongKong
16,670199487,4,2019-4,Myanmar (Burma),Disneyland_HongKong
17,670129921,3,2019-4,United Kingdom,Disneyland_HongKong
18,670099231,4,2019-4,Australia,Disneyland_HongKong
19,670033848,5,2018-11,Hong Kong,Disneyland_HongKong
20,670030877,5,2019-4,United Kingdom,Disneyland_HongKong
21,670022335,3,2019-4,United States,Disneyland_HongKong
22,670007081,3,2019-4,United States,Disneyland_HongKong
23,669996858,3,2019-4,Singapore,Disneyland_HongKong
24,669783708,5,2019-4,Australia,Disneyland_HongKong
25,669548161,3,2019-4,Hong Kong,Disneyland_HongKong
26,669528186,3,2019-4,Australia,Disneyland_HongKong
27,669403596,5,2018-12,Philippines,Disneyland_HongKong
28,669353396,5,2019-4,United Kingdom,Disneyland_HongKong
29,669186152,3,2019-4,Australia,Disneyland_HongKong
30,669093045,5,2019-4,Australia,Disneyland_HongKong
31,669050447,4,2019-4,Australia,Disneyland_HongKong
32,668819140,5,2019-4,Australia,Disneyland_HongKong
33,668798543,5,2019-4,China,Disneyland_HongKong
34,668777351,4,2018-12,Australia,Disneyland_HongKong
35,668611003,4,2019-4,Australia,Disneyland_HongKong
36,668374644,4,2019-4,United Kingdom,Disneyland_HongKong
37,668242919,4,2019-4,Australia,Disneyland_HongKong
